"Date","ReferenceNo.","Type","Description","Debit","Credit", "CheckNumber"
"6/10/2016","","DEBIT","WITHDRAWAL. ATM 0610 1815 501055 100 NICOLLS ROAD        STONY BROOK  NY","-40.00","",""
"6/10/2016","","CREDIT","DEPOSIT. ATM 0610 1347 497354 100 NICHOLLS ROAD       STONY BROOK  NY","","132.23",""
"6/10/2016","","CREDIT","ELECTRONIC DEPOSIT. R.F.OF S.U.N.Y  SALARY    160607","","653.70",""
"6/7/2016","","DEBIT","WITHDRAWAL. POS 0607 1504 457827 THE UPS STORE #5        STONEYBROOK  NY","-24.56","",""
"6/7/2016","","DEBIT","MISCELLANEOUS DEBIT.  MONEY ORDERS","-2.00","",""
"6/7/2016","","DEBIT","MISCELLANEOUS DEBIT.  MONEY ORDERS","-30.59","",""
"6/6/2016","","DEBIT","WITHDRAWAL. POS 0606 1519 444118 CVS/PHARM 03010-        Setauket     NY","-14.30","",""
"6/2/2016","","DEBIT","WITHDRAWAL. POS 0602 1623 359132 STOP   SHOP 0574        SETAUKET     NY","-55.00","",""
"6/2/2016","","DEBIT","DEBIT CARD DEBIT SBU RECREATION 631-6329316 NY","-26.50","",""
"6/1/2016","","DEBIT","DEBIT CARD DEBIT SBU MEAL PLAN WE 631-6329316 NY","-100.00","",""
"5/30/2016","","DEBIT","DEBIT CARD DEBIT WWW.STATUEOFLIBE 866-5689827 TX","-14.00","",""
"5/30/2016","","DEBIT","DEBIT CARD DEBIT STATUE CRUISES 08775239849 NJ","-36.00","",""
"5/30/2016","","DEBIT","DEBIT CARD DEBIT TRADER JOE S #55 LAKE GROVE NY","-9.43","",""
"5/29/2016","","DEBIT","DEBIT CARD DEBIT KING WAH KITCHEN STONY BROOK NY","-22.65","",""
"5/29/2016","","DEBIT","WITHDRAWAL. POS 0529 2218 308010 AMAZON.COM              SEATTLE      WA","-9.99","",""
"5/29/2016","","DEBIT","TRANSFER To 78429-1.","-1500.00","",""
"5/28/2016","","DEBIT","WITHDRAWAL. POS 0528 1329 295069 MARSHALLS MARSHA        STONEYBROOK  NY","-7.59","",""
"5/27/2016","","CREDIT","ELECTRONIC DEPOSIT. R.F.OF S.U.N.Y  SALARY    160524","","653.70",""
"5/27/2016","","DEBIT","DEBIT CARD DEBIT MAD OVER YOGURT- STONY BROOK NY","-11.92","",""
"5/26/2016","","DEBIT","DEBIT CARD DEBIT SPA COSMETICS LAKE GROVE NY","-108.62","",""
"5/26/2016","","DEBIT","DEBIT CARD DEBIT SUBWAY 00 FARMINGVILLE NY","-8.15","",""
"5/26/2016","","DEBIT","DEBIT CARD DEBIT CHEESECAKE LAKE LAKE GROVE NY","-43.91","",""
"5/25/2016","","DEBIT","WITHDRAWAL. POS 0525 1416 251710 U.S. POLO ASSN.         LAKE GROVE   NY","-88.95","",""
"5/25/2016","","DEBIT","DEBIT CARD DEBIT SBU MEAL PLAN WE 631-6329316 NY","-20.00","",""
"5/24/2016","","DEBIT","WITHDRAWAL. POS 0524 2300 244965 7-ELEVEN                STONY BROOK  NY","-11.45","",""
"5/23/2016","","CREDIT","DEBIT CARD REVERSAL. 588261SBU MEAL PLAN WE 631-6329316 NY","","42.00",""
"5/23/2016","","DEBIT","DEBIT CARD DEBIT MAD OVER YOGURT- STONY BROOK NY","-6.29","",""
"5/22/2016","","DEBIT","DEBIT CARD DEBIT UNION STARBUCK23 STONY BROOK NY","-3.75","",""
"5/22/2016","","DEBIT","WITHDRAWAL. POS 0522 1735 214055 STOP   SHOP 0574        SETAUKET     NY","-30.98","",""
"5/20/2016","","DEBIT","DEBIT CARD DEBIT TRAVEL INSURANCE 08007296021 VA","-22.58","",""
"5/20/2016","","DEBIT","DEBIT CARD DEBIT UNITED 800-932-2732 TX","-195.36","",""
"5/20/2016","","DEBIT","DEBIT CARD DEBIT SBU MEAL PLAN WE 631-6329316 NY","-50.00","",""
"5/19/2016","","DEBIT","DEBIT CARD DEBIT HOTELS.COM129782 HOTELS.COM WA","-325.55","",""
"5/19/2016","","CREDIT","TRANSFER From 78429-1.","","2000.00",""
